Kateg¢riaazonos°t¢;Kateg¢ria;ID;MegnevezÇs;MegnevezÇs a nyugt†n;Cikksz†m;Vonalk¢d;Elad†si †r, Ft;BeszerzÇsi †r, Ft;MÇrÇsi egysÇg ÇrtÇkes°tÇskor;MÇrtÇkegysÇg felhaszn†l†skor;Felhaszn†lhat¢ menyisÇgi egysÇg (KiszerelÇs);Nett¢ tîmeg, g.;Brutt¢ tîmeg, g.;Kritikus mennyisÇg;Kiv†nt mennyisÇg;MegjegyzÇs
289918;Lemos¢k/leold¢k/fix†l¢k;6933666;AcrylGel Solution 100 ml;;PNZ4057;5,99906E+12;1677;1290;db.;ml;100;0;0;0;0;
289886;Eszkîzîk;6933667;Adapter;;PNG3000;5,99831E+12;6877;5290;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933685;AkrilfestÇk-001-fehÇr;;PNAK001;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933686;AkrilfestÇk-002-fekete;;PNAK002;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933687;AkrilfestÇk-003-narancs;;PNAK003;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933688;AkrilfestÇk-004-bord¢;;PNAK004;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933689;AkrilfestÇk-005-barna;;PNAK005;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933690;AkrilfestÇk-006-vil†goskÇk;;PNAK006;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933691;AkrilfestÇk-007-r¢zsasz°n;;PNAK007;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933692;AkrilfestÇk-008-pink;;PNAK008;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933693;AkrilfestÇk-009-orgonalila;;PNAK009;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933694;AkrilfestÇk-010-kÇk;;PNAK010;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933695;AkrilfestÇk-011-s†rga;;PNAK011;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933696;AkrilfestÇk-012-piros;;PNAK012;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933697;AkrilfestÇk-013-olivazîld;;PNAK013;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933698;AkrilfestÇk-014-zîld;;PNAK014;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933699;AkrilfestÇk-015-p£der;;PNAK015;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933700;AkrilfestÇk-016-pasztels†rga;;PNAK016;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933701;AkrilfestÇk-017-vil†gos lila;;PNAK017;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933702;AkrilfestÇk-018-menta;;PNAK018;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933703;AkrilfestÇk-019-tÅrkizkÇk;;PNAK019;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933704;AkrilfestÇk-020-narancspiros;;PNAK020;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933705;AkrilfestÇk-021-kagyl¢hÇjeffek;;PNAK021;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933706;AkrilfestÇk-022-magenta;;PNAK022;5,99906E+12;897;690;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933707;AkrilfestÇk-023 Met†l M†lyva;;PNAK023;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933708;AkrilfestÇk-024 Met†l bronz;;PNAK024;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933709;AkrilfestÇk-025 Met†l lila;;PNAK025;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933710;AkrilfestÇk-026 Met†l kÇk;;PNAK026;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933711;AkrilfestÇk-027 Met†l tÅrkiz;;PNAK027;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933712;AkrilfestÇk-028 Met†l grafit;;PNAK028;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
289881;D°sz°tÇs;6933713;AkrilfestÇk-029 Met†l gyîngy;;PNAK029;5,99906E+12;936;720;db.;db.;0;0;0;0;0;
